monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20250608,20250615,533
0,0,0,0,0,0,1,20250608,20250615,609
0,0,0,0,0,0,1,20250608,20250622,1006
0,0,0,0,0,0,1,20250608,20250622,280
0,0,0,0,0,0,1,20250608,20250622,408
0,0,0,0,0,0,1,20250608,20250622,829
0,0,0,0,0,0,1,20250608,20250622,929
0,0,0,0,0,0,1,20250608,20250629,892
0,0,0,0,0,0,1,20250608,20250629,962
0,0,0,0,0,0,1,20250608,20250706,271
0,0,0,0,0,0,1,20250608,20250706,293
0,0,0,0,0,0,1,20250608,20250706,494
0,0,0,0,0,0,1,20250608,20250706,619
0,0,0,0,0,0,1,20250608,20250706,868
0,0,0,0,0,0,1,20250608,20250706,912
0,0,0,0,0,0,1,20250609,20250622,969
0,0,0,0,0,0,1,20250609,20250629,180
0,0,0,0,0,0,1,20250609,20250630,964
0,0,0,0,0,0,1,20250609,20250706,487
0,0,0,0,0,0,1,20250615,20250622,1033
0,0,0,0,0,0,1,20250615,20250629,240
0,0,0,0,0,0,1,20250615,20250629,448
0,0,0,0,0,0,1,20250615,20250629,507
0,0,0,0,0,0,1,20250615,20250706,1008
0,0,0,0,0,0,1,20250615,20250706,203
0,0,0,0,0,0,1,20250615,20250706,488
0,0,0,0,0,0,1,20250615,20250706,793
0,0,0,0,0,0,1,20250615,20250706,818
0,0,0,0,0,0,1,20250620,20250629,723
0,0,0,0,0,0,1,20250621,20250706,779
0,0,0,0,0,0,1,20250622,20250629,157
0,0,0,0,0,0,1,20250622,20250629,310
0,0,0,0,0,0,1,20250622,20250629,406
0,0,0,0,0,0,1,20250622,20250629,44
0,0,0,0,0,0,1,20250622,20250706,251
0,0,0,0,0,0,1,20250622,20250706,98
0,0,0,0,0,0,1,20250622,20250708,202
0,0,0,0,0,0,1,20250627,20250706,741
0,0,0,0,0,0,1,20250628,20250706,625
0,0,0,0,0,0,1,20250629,20250706,544
0,0,0,0,0,1,0,20250608,20250621,800
0,0,0,0,0,1,0,20250608,20250628,1050
0,0,0,0,0,1,0,20250608,20250628,228
0,0,0,0,0,1,0,20250608,20250705,286
0,0,0,0,0,1,0,20250609,20250706,802
0,0,0,0,0,1,0,20250614,20250621,186
0,0,0,0,0,1,0,20250614,20250628,455
0,0,0,0,0,1,0,20250614,20250628,640
0,0,0,0,0,1,0,20250614,20250705,1045
0,0,0,0,0,1,0,20250614,20250705,77
0,0,0,0,0,1,0,20250620,20250628,862
0,0,0,0,0,1,0,20250621,20250628,392
0,0,0,0,0,1,0,20250621,20250628,672
0,0,0,0,0,1,0,20250621,20250628,673
0,0,0,0,0,1,0,20250621,20250628,991
0,0,0,0,0,1,0,20250621,20250629,391
0,0,0,0,0,1,0,20250621,20250705,124
0,0,0,0,0,1,0,20250621,20250705,917
0,0,0,0,0,1,0,20250621,20250705,940
0,0,0,0,0,1,0,20250621,20250705,961
0,0,0,0,0,1,0,20250627,20250708,1092
0,0,0,0,0,1,0,20250628,20250705,600
0,0,0,0,0,1,0,20250628,20250705,825
0,0,0,0,0,1,0,20250628,20250706,812
0,0,0,0,0,1,1,20250608,20250614,691
0,0,0,0,0,1,1,20250608,20250614,959
0,0,0,0,0,1,1,20250608,20250615,967
0,0,0,0,0,1,1,20250608,20250622,129
0,0,0,0,0,1,1,20250608,20250622,175
0,0,0,0,0,1,1,20250608,20250622,82
0,0,0,0,0,1,1,20250608,20250622,956
0,0,0,0,0,1,1,20250608,20250628,738
0,0,0,0,0,1,1,20250608,20250704,1075
0,0,0,0,0,1,1,20250608,20250705,1143
0,0,0,0,0,1,1,20250608,20250705,546
0,0,0,0,0,1,1,20250608,20250706,109
0,0,0,0,0,1,1,20250608,20250706,14
0,0,0,0,0,1,1,20250608,20250706,201
0,0,0,0,0,1,1,20250608,20250706,439
0,0,0,0,0,1,1,20250608,20250706,463
0,0,0,0,0,1,1,20250608,20250706,630
0,0,0,0,0,1,1,20250608,20250706,676
0,0,0,0,0,1,1,20250608,20250706,773
0,0,0,0,0,1,1,20250608,20250706,816
0,0,0,0,0,1,1,20250609,20250705,576
0,0,0,0,0,1,1,20250609,20250706,851
0,0,0,0,0,1,1,20250610,20250628,849
0,0,0,0,0,1,1,20250613,20250622,803
0,0,0,0,0,1,1,20250614,20250615,467
0,0,0,0,0,1,1,20250614,20250621,511
0,0,0,0,0,1,1,20250614,20250622,66
0,0,0,0,0,1,1,20250614,20250628,776
0,0,0,0,0,1,1,20250614,20250629,787
0,0,0,0,0,1,1,20250614,20250705,273
0,0,0,0,0,1,1,20250614,20250705,832
0,0,0,0,0,1,1,20250614,20250706,1000
0,0,0,0,0,1,1,20250614,20250706,197
0,0,0,0,0,1,1,20250615,20250621,1141
0,0,0,0,0,1,1,20250615,20250622,205
0,0,0,0,0,1,1,20250615,20250629,1038
0,0,0,0,0,1,1,20250615,20250706,140
0,0,0,0,0,1,1,20250615,20250706,345
0,0,0,0,0,1,1,20250615,20250706,451
0,0,0,0,0,1,1,20250615,20250706,86
0,0,0,0,0,1,1,20250621,20250622,977
0,0,0,0,0,1,1,20250621,20250628,419
0,0,0,0,0,1,1,20250621,20250629,1139
0,0,0,0,0,1,1,20250621,20250705,462
0,0,0,0,0,1,1,20250621,20250705,893
0,0,0,0,0,1,1,20250621,20250706,254
0,0,0,0,0,1,1,20250621,20250708,149
0,0,0,0,0,1,1,20250622,20250628,943
0,0,0,0,0,1,1,20250627,20250708,1098
0,0,0,0,0,1,1,20250628,20250629,980
0,0,0,0,0,1,1,20250628,20250705,749
0,0,0,0,0,1,1,20250628,20250706,137
0,0,0,0,0,1,1,20250629,20250706,182
0,0,0,0,0,1,1,20250705,20250706,549
0,0,0,0,0,1,1,20250705,20250706,557
0,0,0,0,0,1,1,20250705,20250706,743
0,0,0,0,1,0,0,20250613,20250620,45
0,0,0,0,1,0,0,20250613,20250627,754
0,0,0,0,1,0,0,20250613,20250704,479
0,0,0,0,1,0,0,20250613,20250704,652
0,0,0,0,1,0,0,20250613,20250704,863
0,0,0,0,1,0,0,20250615,20250704,434
0,0,0,0,1,0,0,20250620,20250627,115
0,0,0,0,1,0,0,20250620,20250704,843
0,0,0,0,1,0,0,20250627,20250704,10
0,0,0,0,1,0,0,20250627,20250704,1018
0,0,0,0,1,0,1,20250608,20250613,650
0,0,0,0,1,0,1,20250608,20250622,714
0,0,0,0,1,0,1,20250608,20250627,1065
0,0,0,0,1,0,1,20250609,20250620,527
0,0,0,0,1,0,1,20250612,20250708,259
0,0,0,0,1,0,1,20250613,20250615,919
0,0,0,0,1,0,1,20250614,20250704,166
0,0,0,0,1,0,1,20250615,20250620,20
0,0,0,0,1,0,1,20250615,20250704,1129
0,0,0,0,1,0,1,20250615,20250706,1108
0,0,0,0,1,0,1,20250615,20250706,1111
