route_long_name,route_short_name,agency_id,route_type,route_id
,EC,1,2,40
,EC,12,2,36
,EC,4,2,24
,EC,5,2,2
,EC,7,2,47
,EC,8,2,97
,EC 27,8,2,3
,EC 27,9,2,75
,EC 32,9,2,48
,EC 43,7,2,105
,EC 43,9,2,69
,EC 62,12,2,8
,EC 62,9,2,57
,EC 75,9,2,16
,EC 85,9,2,106
,EC 89,9,2,25
,EC 95,13,2,107
,EC 95,9,2,12
,EC 96,13,2,63
,EC 96,9,2,54
,ECE 85,9,2,20
,ECE 88,9,2,17
,EN,1,2,102
,EN,12,2,80
,EN,13,2,13
,EN,6,2,44
,EN,8,2,99
,IC,10,2,64
,IC,11,2,9
,IC,12,2,55
,IC,13,2,41
,IC,2,2,103
,IC,5,2,21
,IC,7,2,10
,IC 17,9,2,94
,IC 24,9,2,4
,IC 26,9,2,42
,IC 27,9,2,95
,IC 29,9,2,90
,IC 32,9,2,108
,IC 34,9,2,104
,IC 35,9,2,66
,IC 39,9,2,56
,IC 43,7,2,45
,IC 43,9,2,77
,IC 51,9,2,37
,IC 55,9,2,49
,IC 56,9,2,14
,IC 57,9,2,5
,IC 6,7,2,52
,IC 61,9,2,83
,IC 62,9,2,46
,IC 76,5,2,6
,IC 76,9,2,67
,IC 77,9,2,78
,IC 87,9,2,7
,IC 90,9,2,72
,ICE,10,2,31
,ICE,12,2,38
,ICE,7,2,100
,ICE 10,9,2,79
,ICE 11,9,2,15
,ICE 12,9,2,26
,ICE 13,9,2,58
,ICE 14,9,2,34
,ICE 15,9,2,18
,ICE 16,9,2,53
,ICE 17,9,2,39
,ICE 18,9,2,73
,ICE 19,9,2,109
,ICE 2,9,2,86
,ICE 20,9,2,65
,ICE 21,9,2,11
,ICE 22,9,2,27
,ICE 24,9,2,60
,ICE 25,9,2,101
,ICE 26,9,2,89
,ICE 27,9,2,1
,ICE 28,9,2,50
,ICE 29,9,2,32
,ICE 32,12,2,70
,ICE 32,9,2,87
,ICE 39,9,2,61
,ICE 4,9,2,19
,ICE 41,9,2,82
,ICE 42,9,2,84
,ICE 43,9,2,22
,ICE 45,9,2,71
,ICE 47,9,2,81
,ICE 49,9,2,35
,ICE 50,9,2,68
,ICE 55,9,2,85
,ICE 60,9,2,33
,ICE 62,12,2,96
,ICE 62,9,2,23
,ICE 77,9,2,43
,ICE 78,9,2,74
,ICE 79,9,2,98
,ICE 8,9,2,59
,ICE 82,3,2,91
,ICE 82,9,2,76
,ICE 83,3,2,93
,ICE 83,9,2,92
,ICE 89,9,2,88
,ICE 9,9,2,29
,ICE 91,9,2,28
,RJ,1,2,51
,RJ,12,2,62
,RJ,8,2,30
