trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
1004408,08:45:00,08:45:00,333146,0,,
1004408,08:50:00,08:52:00,542151,1,,1
1004408,09:22:00,09:31:00,353075,2,1,1
1004408,09:46:00,09:47:00,388288,3,,
1004408,10:21:00,10:38:00,220078,4,,
1004408,10:49:00,10:50:00,222005,5,,
1004408,11:01:00,11:09:00,412311,6,,
1004408,11:25:00,11:27:00,236915,7,,
1004408,11:57:00,12:04:00,480845,8,,
1004408,12:48:00,12:49:00,676479,9,,
1004408,13:23:00,13:23:00,170310,10,,
102244,18:36:00,18:36:00,170310,0,,
102244,19:08:00,19:10:00,82342,1,,
102244,19:54:00,20:01:00,480845,2,,
102244,20:27:00,20:29:00,236915,3,,
102244,20:48:00,20:55:00,412311,4,,
102244,21:05:00,21:06:00,222005,5,,
102244,21:18:00,21:18:00,220078,6,,
103053,07:11:00,07:11:00,333146,0,,
103053,07:17:00,07:19:00,584144,1,,
103053,07:46:00,07:47:00,388288,2,,
103053,08:21:00,08:38:00,220078,3,,
103053,08:49:00,08:50:00,222005,4,,
103053,09:01:00,09:09:00,412311,5,,
103053,09:25:00,09:27:00,236915,6,,
103053,09:57:00,10:04:00,480845,7,,
103053,10:48:00,10:49:00,676479,8,,
103053,11:23:00,11:23:00,170310,9,,
1053096,09:22:00,09:22:00,606118,0,,
1053096,09:53:00,09:54:00,95580,1,,
1053096,10:23:00,10:24:00,578045,2,,
1053096,10:37:00,10:39:00,628645,3,,
1053096,11:18:00,11:20:00,536364,4,,
1053096,12:11:00,12:13:00,179833,5,,
1053096,12:43:00,12:45:00,560598,6,,
1053096,13:06:00,13:11:00,62565,7,,
1053096,13:29:00,13:30:00,71327,8,,
1053096,13:42:00,13:44:00,234569,9,,
1053096,13:59:00,14:01:00,373939,10,,
1053096,14:21:00,14:28:00,16885,11,,
1053096,14:43:00,14:45:00,595705,12,,
1053096,15:07:00,15:09:00,310460,13,,
1053096,15:18:00,15:18:00,130979,14,,
1063717,18:36:00,18:36:00,170310,0,,
1063717,19:08:00,19:10:00,82342,1,,
1063717,19:54:00,20:01:00,480845,2,,
1063717,20:27:00,20:29:00,236915,3,,
1063717,20:48:00,20:55:00,412311,4,,
1063717,21:05:00,21:06:00,222005,5,,
1063717,21:18:00,21:18:00,220078,6,,
1066881,18:36:00,18:36:00,170310,0,,
1066881,19:08:00,19:10:00,82342,1,,
1066881,19:54:00,20:01:00,480845,2,,
1066881,20:27:00,20:29:00,236915,3,,
1066881,20:48:00,20:55:00,412311,4,,
1066881,21:05:00,21:06:00,222005,5,,
1066881,21:18:00,21:31:00,220078,6,,
1066881,22:00:00,22:01:00,282936,7,,
1066881,22:30:00,22:32:00,236139,8,1,
1066881,22:38:00,22:38:00,49257,9,,
1077419,12:45:00,12:45:00,49257,0,,
1077419,12:50:00,12:52:00,542151,1,,1
1077419,13:22:00,13:47:00,388288,2,,
1077419,14:21:00,14:38:00,220078,3,,
1077419,14:55:00,14:56:00,160766,4,,
1077419,15:17:00,15:18:00,41180,5,,
1077419,16:02:00,16:04:00,480845,6,,
1077419,16:48:00,16:49:00,676479,7,,
1077419,17:23:00,17:23:00,170310,8,,
1079666,03:55:00,03:55:00,49257,0,,
1079666,03:59:00,04:01:00,584144,1,,
1079666,04:40:00,04:42:00,353075,2,,
1079666,06:21:00,06:38:00,220078,3,,
1079666,06:49:00,06:50:00,222005,4,,
1079666,07:01:00,07:09:00,412311,5,,
1079666,07:26:00,07:28:00,236915,6,,
1079666,07:57:00,08:04:00,480845,7,,
1079666,08:47:00,08:49:00,676479,8,,
1079666,09:23:00,09:23:00,170310,9,,
1093683,12:36:00,12:36:00,170310,0,,
1093683,13:08:00,13:10:00,82342,1,,
1093683,13:54:00,14:01:00,480845,2,,
1093683,14:27:00,14:29:00,236915,3,,
1093683,14:48:00,14:55:00,412311,4,,
1093683,15:05:00,15:06:00,222005,5,,
1093683,15:19:00,15:31:00,220078,6,,
1093683,17:12:00,17:14:00,353075,7,,
1093683,17:39:00,17:39:00,236139,8,,
1101069,18:40:00,18:40:00,94592,0,,
1101069,18:49:00,18:51:00,586936,1,,
1101069,19:15:00,19:17:00,595705,2,,
1101069,19:32:00,19:34:00,16885,3,,
1101069,19:45:00,19:46:00,97892,4,,
1101069,19:57:00,19:59:00,225313,5,,
1101069,20:10:00,20:12:00,178674,6,,
1101069,20:24:00,20:26:00,562625,7,,
1101069,20:49:00,20:53:00,62565,8,,
1101069,21:13:00,21:15:00,135639,9,,
1101069,21:46:00,21:48:00,411979,10,,
1101069,23:09:00,23:12:00,536364,11,,
1101069,23:29:00,23:32:00,459961,12,,
1101069,23:43:00,23:43:00,44178,13,,
1107239,14:36:00,14:36:00,170310,0,,
1107239,15:09:00,15:11:00,82342,1,,
1107239,15:54:00,16:01:00,480845,2,,
1107239,16:28:00,16:30:00,236915,3,,
1107239,16:48:00,16:55:00,412311,4,,
1107239,17:05:00,17:06:00,222005,5,,
1107239,17:18:00,17:31:00,220078,6,,
1107239,18:00:00,18:01:00,282936,7,,
1107239,18:43:00,18:49:00,236139,8,1,
1107239,18:56:00,18:56:00,49257,9,,
1117564,05:02:00,05:02:00,482018,0,,
1117564,05:27:00,05:30:00,16885,1,,
1117564,05:47:00,05:58:00,502659,2,,
1117564,06:13:00,06:15:00,234569,3,,
1117564,06:26:00,06:27:00,622647,4,,
1117564,06:47:00,06:53:00,62565,5,,
1117564,07:13:00,07:15:00,135639,6,,
1117564,07:46:00,07:48:00,411979,7,,
1117564,08:39:00,08:42:00,536364,8,,
1117564,09:21:00,09:23:00,145797,9,,
1117564,09:34:00,09:36:00,388444,10,,
1117564,10:03:00,10:04:00,102890,11,,
1117564,10:20:00,10:20:00,254512,12,,
1117564,10:37:00,10:37:00,606118,13,,
112137,07:36:00,07:36:00,606118,0,,
112137,07:53:00,07:54:00,95580,1,,
112137,08:23:00,08:25:00,578045,2,,
112137,08:37:00,08:39:00,628645,3,,
112137,09:18:00,09:20:00,536364,4,,
112137,10:11:00,10:13:00,179833,5,,
112137,10:43:00,10:45:00,560598,6,,
112137,11:06:00,11:11:00,62565,7,,
112137,11:29:00,11:30:00,71327,8,,
112137,11:42:00,11:44:00,234569,9,,
112137,11:59:00,12:01:00,373939,10,,
112137,12:21:00,12:28:00,16885,11,,
112137,12:43:00,12:45:00,595705,12,,
112137,13:06:00,13:08:00,310460,13,,
112137,13:16:00,13:16:00,130979,14,,
1136595,10:36:00,10:36:00,170310,0,,
1136595,11:08:00,11:10:00,82342,1,,
1136595,11:54:00,12:01:00,480845,2,,
1136595,12:44:00,12:45:00,41180,3,,
1136595,13:01:00,13:02:00,160766,4,,
1136595,13:20:00,13:31:00,220078,5,,
1136595,14:00:00,14:01:00,282936,6,,
1136595,14:28:00,14:30:00,236139,7,1,
1136595,14:34:00,14:34:00,49257,8,,
1156230,06:37:00,06:37:00,170310,0,,
1156230,07:08:00,07:10:00,82342,1,,
1156230,07:54:00,08:01:00,480845,2,,
1156230,08:44:00,08:45:00,41180,3,,
1156230,09:01:00,09:02:00,160766,4,,
1156230,09:21:00,09:31:00,220078,5,,
1156230,10:00:00,10:01:00,282936,6,,
1156230,10:28:00,10:30:00,236139,7,1,
1156230,10:34:00,10:34:00,49257,8,,
1159441,08:40:00,08:40:00,94592,0,,
1159441,08:49:00,08:51:00,586936,1,,
1159441,09:15:00,09:17:00,595705,2,,
1159441,09:32:00,09:36:00,16885,3,,
1159441,09:56:00,09:58:00,502659,4,,
1159441,10:13:00,10:15:00,234569,5,,
1159441,10:26:00,10:27:00,622647,6,,
1159441,10:47:00,10:47:00,62565,7,,
11645,15:11:00,15:11:00,333146,0,,
11645,15:17:00,15:19:00,584144,1,,1
11645,15:46:00,15:47:00,388288,2,,
11645,16:21:00,16:38:00,220078,3,,
11645,16:49:00,16:50:00,222005,4,,
11645,17:01:00,17:09:00,412311,5,,
11645,17:25:00,17:27:00,236915,6,,
11645,17:57:00,18:04:00,480845,7,,
11645,18:48:00,18:49:00,676479,8,,
11645,19:23:00,19:23:00,170310,9,,
1172133,06:05:00,06:05:00,179833,0,,
1172133,06:16:00,06:18:00,661756,1,,
1172133,06:29:00,06:31:00,397273,2,,
1172133,06:43:00,06:45:00,560598,3,,
1172133,07:05:00,07:11:00,62565,4,,
1172133,07:29:00,07:30:00,71327,5,,
1172133,07:42:00,07:44:00,234569,6,,
1172133,07:59:00,08:01:00,373939,7,,
1172133,08:21:00,08:28:00,16885,8,,
1172133,08:43:00,08:45:00,595705,9,,
