stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
's-Hertogenbosch,,278090,51.69054,5.293723,1
's-Hertogenbosch,278090,82654,51.69054,5.293723,
Aachen Hbf,420974,339093,50.7678,6.091499,
Aachen Süd(Gr),,471364,50.731915,6.04541,1
Aachen Süd(Gr),471364,558129,50.731915,6.04541,
"Aachen, Hauptbahnhof",,420974,50.767723,6.092051,1
Aalen Hauptbahnhof,,386341,48.841602,10.096031,1
Aalen Hbf,386341,264477,48.84168,10.09613,
Aalen Hbf,386341,483831,48.841015,10.096271,
Altena(Westf),591712,245220,51.302013,7.668693,
Altena(Westf),591712,290456,51.301956,7.668576,
"Altena, Bahnhof",,591712,51.301983,7.66881,1
Altenbeken,,171852,51.766434,8.943322,1
Altenbeken,171852,26333,51.76686,8.944346,
Altenbeken,171852,632482,51.766296,8.94298,
Altenbeken,171852,637794,51.76676,8.944373,
Amersfoort Centraal,,485981,52.153465,5.373909,1
Amersfoort Centraal,485981,39434,52.153465,5.373909,
Amsterdam Centraal,,474335,52.37919,4.899431,1
Amsterdam Centraal,474335,442168,52.37919,4.899431,
Amstetten NÖ,,232650,48.121605,14.878112,1
Amstetten NÖ,232650,227161,48.121605,14.878112,
Andernach,331610,155997,50.434544,7.404839,
Andernach Bahnhof,,331610,50.434544,7.40484,1
Angermünde,17230,305693,53.01574,13.995672,
Angermünde,17230,529086,53.015793,13.995908,
"Angermünde, Bahnhof",,17230,53.015823,13.995871,1
Anklam,,295095,53.855984,13.701563,1
Anklam,295095,222138,53.85625,13.701518,
Anklam,295095,478166,53.8563,13.701554,
Anklam,295095,513356,53.856102,13.701827,
Ansbach,,130731,49.29803,10.578246,1
Ansbach,130731,546953,49.29889,10.577582,
Ansbach Bahnhof,130731,56383,49.299046,10.578031,
Ansbach Bahnhof,130731,618620,49.299004,10.578067,
Ansbach Bahnhof,130731,646299,49.299145,10.578166,
Apeldoorn,,541929,52.20943,5.968491,1
Apeldoorn,541929,354818,52.20943,5.968491,
Apolda,,105773,51.03094,11.526136,1
Apolda,105773,112612,51.03094,11.526136,
Arnhem Centraal,,646547,51.98478,5.901003,1
Arnhem Centraal,646547,174129,51.98478,5.901003,
Aschaffenburg Hbf,,389953,49.980556,9.1437,1
Aschaffenburg Hbf,389953,161700,49.980797,9.14343,
Aschaffenburg Hbf,389953,224082,49.98065,9.14343,
Aschaffenburg Hbf,389953,404794,49.980556,9.143697,
Attnang-Puchheim,,4439,48.012802,13.720719,1
Attnang-Puchheim,4439,208669,48.012802,13.720719,
Augsburg Hbf,,208650,48.36544,10.885569,1
Augsburg Hbf,208650,167729,48.36546,10.885353,
Augsburg Hbf,208650,233812,48.365673,10.885892,
Augsburg Hbf,208650,283829,48.36544,10.88557,
Augsburg Hbf,208650,427289,48.365532,10.885533,
Augsburg Hbf,208650,498854,48.3656,10.885713,
Augsburg Hbf,208650,667725,48.365437,10.885291,
Augustfehn,,492271,53.220894,7.759622,1
Augustfehn,492271,27970,53.220844,7.75963,
Bad Bentheim,337369,194501,52.309853,7.157776,
Bad Bentheim,337369,488135,52.30978,7.157785,
Bad Bentheim Bahnhof,,337369,52.30953,7.158737,1
Bad Bentheim(Gr),,572907,52.3091,7.04016,1
Bad Bentheim(Gr),572907,189157,52.3091,7.04016,
Bad Bevensen,,563097,53.078247,10.574141,1
Bad Bevensen,563097,646289,53.07822,10.574081,
Bad Bevensen,563097,674293,53.078274,10.574201,
Bad Endorf,,222292,47.904766,12.302122,1
Bad Endorf,222292,347068,47.90459,12.302679,
"Bad Endorf, Bahnhof",222292,51084,47.904682,12.302545,
Bad Hersfeld,,258417,50.869766,9.716581,1
Bad Hersfeld,258417,72423,50.869766,9.716581,
Bad Kleinen,79056,11622,53.766644,11.466456,
Bad Kleinen,79056,505215,53.766945,11.466213,
Bad Kleinen Bhf,,79056,53.76746,11.466429,1
Bad Nauheim,340270,457698,50.367695,8.749241,
Bad Nauheim Bahnhof,,340270,50.367798,8.748327,1
Bad Oeynhausen,132065,505888,52.205322,8.795944,
Bad Oeynhausen,132065,587522,52.205257,8.795962,
"Bad Oeynhausen, Bf/ZOB",,132065,52.2054,8.796519,1
Bad Schandau,616259,650821,50.91921,14.137704,
Bad Schandau,616259,664100,50.919315,14.137713,
Bad Schandau Nationalparkbahnhof,,616259,50.91927,14.138099,1
Bad Zwischenahn,,184155,53.182568,8.002996,1
Bad Zwischenahn,184155,637670,53.18242,8.003398,
Baden-Baden,,569400,48.7902,8.191036,1
Baden-Baden,569400,232476,48.79032,8.190731,
