route_id,service_id,trip_id
1,1013,1196542
1,1013,172882
1,1013,674581
1,1016,1527318
1,1016,77434
1,1027,1334562
1,1028,1520251
1,1031,1558444
1,1035,810071
1,1036,1136595
1,1084,112137
1,1101,865437
1,1101,984802
1,1102,814371
1,1103,278222
1,1113,1172133
1,1114,465381
1,1122,1159441
1,1122,567542
1,1138,434974
1,1147,1312684
1,118,593591
1,138,1533485
1,156,1414333
1,208,334905
1,209,1429276
1,209,1567499
1,209,1686381
1,209,401353
1,209,484204
1,211,475340
1,216,1004408
1,218,1276153
1,218,247651
1,218,867719
1,218,919917
1,222,428072
1,222,898821
1,222,941734
1,225,1227275
1,23,1537410
1,236,674291
1,248,1354317
1,252,1338701
1,252,331656
1,256,1472067
1,256,779414
1,260,1530092
1,260,234043
1,265,241917
1,265,582276
1,280,714428
1,297,1399595
1,297,1667877
1,326,1597307
1,343,248208
1,343,345448
1,343,372958
1,343,532355
1,343,951845
1,359,1667113
1,359,389579
1,359,968008
1,368,423292
1,383,1093683
1,383,1429238
1,383,1557765
1,383,204976
1,383,887185
1,384,911540
1,393,544399
1,399,205978
1,402,1066881
1,402,1204999
1,402,1227500
1,402,1230214
1,402,1394767
1,402,1585935
1,402,193597
1,402,325744
1,402,455170
1,402,538
1,402,671983
1,402,673183
1,402,795094
1,402,919405
1,402,951816
1,404,1364213
1,411,1302914
1,412,1250997
1,415,1594580
1,417,1481213
1,417,769997
1,421,1053096
1,421,1555505
1,421,242027
1,421,269319
1,421,278152
1,421,559673
1,421,770397
1,432,1235111
1,432,1314784
1,432,52969
1,440,552983
1,45,1107239
1,464,531772
1,467,54285
1,488,1402260
1,488,154643
1,497,802431
1,503,1446068
1,520,1101069
1,520,158832
1,521,313502
1,523,311514
1,529,1510017
1,548,1663582
1,55,479336
1,55,801589
1,571,89096
1,58,279068
1,580,1329622
1,588,1207040
1,588,16340
1,593,1310558
1,603,703061
1,605,1374577
1,605,240187
1,605,400571
1,605,841583
1,622,1404324
1,622,1692756
1,622,453833
1,622,506828
1,622,890837
1,63,657094
1,643,1676765
1,659,282548
1,691,102244
1,7,1079666
1,7,1325747
1,7,353485
1,705,576348
1,711,781703
1,74,1117564
1,745,855088
1,756,649100
1,760,707927
1,765,562595
1,775,564248
1,779,785771
1,784,1277971
1,789,11645
1,789,1665610
1,789,407101
1,789,73411
1,797,489289
1,797,574323
1,799,1566467
1,800,1661296
1,814,893018
1,817,1592820
1,817,340875
1,817,383777
1,821,1717425
1,822,82509
1,828,1197863
1,828,1437439
1,828,1474654
1,828,949727
1,832,402995
1,833,1376766
1,833,372061
1,871,978209
1,874,804243
1,881,12129
1,890,1261233
1,895,302369
1,897,577787
1,900,1191406
1,909,1546397
1,909,41986
1,912,1646678
1,926,103053
1,930,28608
1,937,1713102
1,937,214600
1,940,1063717
1,946,396676
1,957,677325
1,97,1235016
1,98,945257
1,980,1300416
1,980,188445
1,982,1077419
1,982,1156230
1,982,1245381
1,982,1448144
1,982,194887
1,982,553751
1,982,616553
1,982,71909
1,982,726587
1,982,903099
1,996,1603707
10,218,1690933
10,364,1514543
10,588,1099819
10,588,1433297
10,900,1376635
10,900,845482
100,1114,1066491
100,1114,1157040
100,1114,1166219
100,1114,1395724
100,1114,1630294
100,1114,17634
100,1114,21003
100,1114,299862
100,1114,363862
100,1114,393198
100,1114,517824
100,1114,528513
100,1114,681829
100,1114,697487
100,1114,708965
100,1114,843052
100,1114,94489
100,256,1673308
100,335,445908
100,346,1203687
100,40,1252850
100,445,1007837
100,460,1657792
100,460,250085
100,489,1026180
100,489,1538275
100,489,1707848
100,489,48228
100,489,489433
100,489,750291
100,489,787926
100,489,792076
100,489,862530
100,489,956942
100,489,987421
100,518,453169
100,532,709971
100,611,292774
100,65,1111584
100,688,998844
100,743,1165295
100,743,12255
100,743,1262501
100,743,1285172
100,743,1334194
100,743,1710639
100,743,265686
100,743,647945
100,743,677599
100,743,683517
100,743,702014
100,743,749985
100,743,769853
100,743,913182
100,754,594826
100,764,1443513
100,764,1662524
100,783,1399557
100,797,1086327
100,797,339158
100,797,926697
100,881,542313
100,952,436563
11,1016,1005270
11,1016,1080976
11,1016,1116935
11,1016,1134322
11,1016,1345600
11,1016,1581385
11,1016,1696928
11,1016,328097
11,1016,472856
11,1016,493584
11,1016,525475
11,1016,614170
11,1016,837019
11,1016,848053
11,1016,885759
11,1016,985651
11,1022,1422490
11,1022,991924
11,1043,1406142
11,1103,373963
11,1103,454713
11,1103,761252
11,1103,836679
11,1114,999246
11,125,340489
11,150,1257469
11,150,1314991
11,150,1692942
11,163,1567552
11,209,597551
11,211,1006017
11,211,519544
11,218,1061795
11,218,359355
11,222,1025267
11,222,1068527
11,222,1183184
11,222,1362518
11,222,1636617
11,222,1689597
11,222,1698949
11,222,245170
11,222,246752
11,222,593462
11,222,699088
11,23,1603407
11,23,952093
11,240,1422453
11,240,1479883
11,240,1489546
11,252,1380295
11,252,138787
11,252,1398623
11,252,1400895
11,252,484040
11,256,1710010
11,260,1176813
11,260,1642057
11,262,1310375
11,262,311210
11,262,641250
11,3,1517755
11,300,70811
11,330,1262170
11,344,1027415
11,351,1025039
11,351,1060495
11,351,1095244
11,351,110998
11,351,1192162
11,351,1387087
11,351,141548
11,351,190070
11,351,406207
11,351,473416
11,351,474775
11,351,650477
11,412,1589674
11,412,429404
11,412,923451
11,458,1226827
11,474,710650
11,489,695037
11,507,83699
11,516,262462
11,516,766657
11,519,1420374
11,535,542609
11,547,615914
11,547,754367
11,566,698002
11,572,1155576
11,586,1503884
11,586,1593284
11,586,730588
11,588,1250998
11,588,1553278
11,588,541883
11,605,1373267
11,645,516383
11,650,806338
11,7,324413
11,7,89833
11,718,1158445
11,721,61124
11,724,996858
11,745,1026536
11,770,172200
11,780,1622437
11,780,1690489
11,780,222361
11,780,774326
11,780,798080
11,789,323736
11,789,577318
11,791,426310
11,797,870137
11,810,236779
11,817,195180
11,822,1518488
11,822,328777
11,822,896565
11,828,1295637
11,833,1199136
11,833,1351753
11,833,1638882
11,848,1056554
11,848,1130813
11,848,1527250
11,848,1533606
11,881,107105
11,881,1081419
11,881,1501073
11,934,782530
11,935,426236
11,937,1251601
11,937,1503737
11,97,1154784
11,977,69316
11,978,1173404
11,986,1388479
12,1027,436161
12,1040,1343041
12,1046,1466018
12,1046,1572896
12,1134,532395
12,208,1001702
12,208,1185179
12,209,1120006
12,209,1641619
12,209,31219
12,256,1080992
12,278,1036464
12,327,1158057
12,412,662269
12,412,948793
12,416,395936
12,421,441858
12,421,967293
12,55,798480
12,752,1660291
12,788,934287
12,828,1052131
12,828,1263966
12,828,1516434
12,828,392179
12,926,1539478
12,926,1637471
12,937,1335203
12,951,931961
12,963,1264522
12,970,358527
13,148,438509
14,1108,139053
14,1122,255165
14,148,52598
14,156,1467976
14,222,968475
14,256,1281145
14,412,1669659
14,412,337529
14,588,763170
14,605,1015331
14,937,685036
14,97,191437
15,1010,1399026
15,1031,878201
15,1046,1264436
15,1046,1409211
15,1046,1639611
15,1046,297971
15,1046,444374
15,1046,571659
15,1046,971008
15,1088,1609596
